8046879	13417512	3733213	6791153	30122904	3896005	8886114	33378556	14243658	35894315	7463782	4166487	45616715	49895428	182945051	11647670	7652843	34506259	11357596	7761871	27488256	25715055	20377534	48593222	12987326	7208586	15836918	722338938	34172510	20950560	14105699	40048481	10965331	17000920	7623668	9255336	
3515608	8057628	8950802	15980136	42431416	89392813	17657887	47602479	21666912	368254583	6655557	36941546	21545558	14963069	12309781	20753266	10789541	13776418	4830390	9872211	9595660	14318088	56424769	14351864	15273062	9320105	12821287	25938369	21587582	11755029	9446626	38378922	22032619	16962982	10166803	30378203	
4714337	5542407	18595863	10483937	79045763	40060856	39293763	32816527	226954132	26410308	36794177	693289616	30256423	71100825	41905052	87117068	175695161	88668805	132206617	47764862	40361973	103010682	234359545	109683202	61967067	26849069	399370135	311211360	292364091	1118896398	27656456	59925042	22312759	44203876	33963326	99482567	
7003370	41871842	84437158	8184425	30905743	18402773	6514411	29308625	22632577	15753370	20329684	19565304	22413509	15269054	13874502	22227025	10110085	8441572	8770119	51300262	15592045	18100101	17315284	11410755	11349807	26289889	385082333	55172470	16645351	41790816	931685964	17684703	36105240	4308552	32034143	17619248	
2496224	18299958	15975289	215811448	42344897	27301706	20810056	90958263	78058587	903935401	54583235	27776246	18853221	28550500	14781184	20269249	11477568	59285815	37087833	605007053	520734576	75934741	35111461	83578437	207159693	339148242	43407847	70108919	60637561	33207943	43543348	32335994	59478276	16418718	69660735	62240124	
11414905	2939742	2413932	8659027	7539558	42552677	200155871	10846579	6471964	4472793	4971086	8020210	151177225	7027104	6241021	7762031	10823139	11855290	6081172	12969628	6328791	10278627	21504398	4005166	17736614	9746967	59862371	7029226	262681212	4733999	11056549	5302299	2157555657	8850327	5694792	10682275	
672797	7369128	1298194	612447	7503833	4639253	2881167	5214607	12254649	3929439	4577973	6370826	10418720	8853840	5529570	6067802	2322185	2683979	6287823	12587938	14524363	9301637	8339893	8066987	12760034	655767442	85361194	29741423	43299715	9214952	375887389	16213915	14511274	5511104	8096593	6494040	
41303	120593	669257	16655	1473861	2618144	4337628	7230024	8246044	1316557	1100388	1300943	4524775	72475869	58095120	24588921	2881734	1414649	9224216	2532587	10109897	3564623	6516483	2145623	6656654	2504504	1339893	3791013	6259369	7991014	1703689	2040190	400651	511094	490948	92012	
1254863	3661048	79526791	117897231	44434705	107312760	71441706	175326923	115019473	915160840	1038557479	150288222	115208095	302755078	199460557	290382791	87204580	178151859	459071051	80153701	116153429	94988281	307714054	186932561	131021263	167808625	1194676515	419592199	300603532	88222477	130650179	109347362	97911488	46162372	10638054	22943991	
3864834	2985047	11373868	15987098	23994602	77677882	24801528	52802175	37365605	31039373	25174585	41491279	124505775	166958502	617984569	46003060	46119952	54153774	126484633	38640715	40116563	85613254	105808734	68346171	94070643	35291355	65622531	46920815	40824570	87933949	63484045	69542569	30946384	33034691	30956450	21116724	
